Designator,Device,Footprint,Mid X,Mid Y,Ref X,Ref Y,Pad X,Pad Y,Pins,Layer,Rotation,SMD,Comment
"FPC4"	,"0.5K-1.5-4PWB"	,"FPC-SMD_4P-P0.50_HDGC_0.5K-1.5-4PWB"	,"4950mil"	,"-1225mil"	,"4950mil"	,"-1225mil"	,"4920.5mil"	,"-1171.8mil"	,"6"	,"T"	,"0"	,"Yes"	,"0.5K-1.5-4PWB"	,
"R13"	,"0603WAF1002T5E"	,"R0603"	,"5570mil"	,"-1280mil"	,"5570mil"	,"-1280mil"	,"5540.3mil"	,"-1280mil"	,"2"	,"B"	,"0"	,"Yes"	,"10kΩ"	,
"C7"	,"CC0603KRX7R9BB104"	,"C0603"	,"5714.6mil"	,"-1280mil"	,"5714.6mil"	,"-1280mil"	,"5742.1mil"	,"-1280mil"	,"2"	,"B"	,"180"	,"Yes"	,"100nF"	,
"C4"	,"CC0603KRX7R9BB104"	,"C0603"	,"4940mil"	,"35mil"	,"4940mil"	,"35mil"	,"4940mil"	,"62.6mil"	,"2"	,"T"	,"-90"	,"Yes"	,"100nF"	,
"C5"	,"CL10A106KP8NNNC"	,"C0603"	,"4780mil"	,"-80mil"	,"4780mil"	,"-80mil"	,"4807.6mil"	,"-80mil"	,"2"	,"T"	,"180"	,"Yes"	,"10uF"	,
"L1"	,"CKCS252012-2.2uH/N"	,"IND-SMD_L2.5-W2.0_YXNAQ2520XX"	,"4850mil"	,"35mil"	,"4850mil"	,"35mil"	,"4850mil"	,"-0.4mil"	,"2"	,"T"	,"90"	,"Yes"	,"2.2uH"	,
"R7"	,"0603WAF1003T5E"	,"R0603"	,"4715mil"	,"200mil"	,"4715mil"	,"200mil"	,"4715mil"	,"170.3mil"	,"2"	,"T"	,"90"	,"Yes"	,"100kΩ"	,
"R4"	,"0603WAF4533T5E"	,"R0603"	,"4750mil"	,"35mil"	,"4750mil"	,"35mil"	,"4750mil"	,"64.7mil"	,"2"	,"T"	,"-90"	,"Yes"	,"453kΩ"	,
"R10"	,"0603WAF5101T5E"	,"R0603"	,"5125mil"	,"225mil"	,"5125mil"	,"225mil"	,"5125mil"	,"254.7mil"	,"2"	,"B"	,"270"	,"Yes"	,"5.1kΩ"	,
"C1"	,"CL10A106KP8NNNC"	,"C0603"	,"4780mil"	,"200mil"	,"4780mil"	,"200mil"	,"4780mil"	,"172.4mil"	,"2"	,"T"	,"90"	,"Yes"	,"10uF"	,
"R9"	,"0603WAF5101T5E"	,"R0603"	,"5235mil"	,"225mil"	,"5235mil"	,"225mil"	,"5235mil"	,"254.7mil"	,"2"	,"B"	,"270"	,"Yes"	,"5.1kΩ"	,
"U2"	,"FP6381AS5CTR"	,"SOT-23-5_L3.0-W1.7-P0.95-LS2.8-BR"	,"4905mil"	,"220mil"	,"4905mil"	,"220mil"	,"4853.8mil"	,"257.4mil"	,"5"	,"T"	,"180"	,"Yes"	,"FP6381AS5CTR"	,
"R19"	,"0603WAF1002T5E"	,"R0603"	,"5010mil"	,"-275mil"	,"5010mil"	,"-275mil"	,"5010mil"	,"-245.3mil"	,"2"	,"T"	,"-90"	,"Yes"	,"10kΩ"	,
"R20"	,"0603WAF1002T5E"	,"R0603"	,"4940mil"	,"-115mil"	,"4940mil"	,"-115mil"	,"4940mil"	,"-144.7mil"	,"2"	,"T"	,"90"	,"Yes"	,"10kΩ"	,
"Q2"	,"S8050_C5184427"	,"SOT-23-3_L2.9-W1.3-P1.90-LS2.4-BR"	,"5120mil"	,"-275mil"	,"5120mil"	,"-275mil"	,"5082.6mil"	,"-314.4mil"	,"3"	,"T"	,"-90"	,"Yes"	,"S8050"	,
"Q3"	,"S8050_C5184427"	,"SOT-23-3_L2.9-W1.3-P1.90-LS2.4-BR"	,"5050mil"	,"-110mil"	,"5050mil"	,"-110mil"	,"5012.6mil"	,"-149.4mil"	,"3"	,"T"	,"-90"	,"Yes"	,"S8050"	,
"C14"	,"CC0603KRX7R9BB104"	,"C0603"	,"4925mil"	,"-280mil"	,"4925mil"	,"-280mil"	,"4925mil"	,"-307.6mil"	,"2"	,"T"	,"90"	,"Yes"	,"100nF"	,
"R16"	,"0603WAF1002T5E"	,"R0603"	,"5520mil"	,"75mil"	,"5520mil"	,"75mil"	,"5490.3mil"	,"75mil"	,"2"	,"T"	,"0"	,"Yes"	,"10kΩ"	,
"C9"	,"CL10A106KP8NNNC"	,"C0603"	,"5605mil"	,"-1370mil"	,"5605mil"	,"-1370mil"	,"5632.6mil"	,"-1370mil"	,"2"	,"B"	,"180"	,"Yes"	,"10uF"	,
"C3"	,"CC0603KRX7R9BB104"	,"C0603"	,"4800.6mil"	,"-789.8mil"	,"4800.6mil"	,"-789.8mil"	,"4773.1mil"	,"-789.8mil"	,"2"	,"B"	,"0"	,"Yes"	,"100nF"	,
"C2"	,"CL10A106KP8NNNC"	,"C0603"	,"4797.6mil"	,"-715mil"	,"4797.6mil"	,"-715mil"	,"4770mil"	,"-715mil"	,"2"	,"B"	,"0"	,"Yes"	,"10uF"	,
"R2"	,"0603WAF1002T5E"	,"R0603"	,"5565mil"	,"-595mil"	,"5565mil"	,"-595mil"	,"5535.3mil"	,"-595mil"	,"2"	,"T"	,"0"	,"Yes"	,"10kΩ"	,
"R3"	,"0603WAF1002T5E"	,"R0603"	,"5565mil"	,"-535mil"	,"5565mil"	,"-535mil"	,"5535.3mil"	,"-535mil"	,"2"	,"T"	,"0"	,"Yes"	,"10kΩ"	,
"R5"	,"0603WAF1002T5E"	,"R0603"	,"5565mil"	,"-870mil"	,"5565mil"	,"-870mil"	,"5535.3mil"	,"-870mil"	,"2"	,"T"	,"0"	,"Yes"	,"10kΩ"	,
"R6"	,"0603WAF1002T5E"	,"R0603"	,"5565mil"	,"-800mil"	,"5565mil"	,"-800mil"	,"5535.3mil"	,"-800mil"	,"2"	,"T"	,"0"	,"Yes"	,"10kΩ"	,
